id,gene,title,abstract,authors,journal,year,keywords,summary
11,53BP1 AND RIF1,"Expression of BRCA1, BRCA2, RAD51, and other DSB repair factors is regulated by CRL4<sup>WDR70</sup>.","Double-strand break (DSB) repair relies on DNA damage response (DDR) factors including BRCA1, BRCA2, and RAD51, which promote homology-directed repair (HDR); 53BP1, which affects single-stranded DNA formation; and proteins that mediate end-joining. Here we show that the CRL4/DDB1/WDR70 complex (CRL4<sup>WDR70</sup>) controls the expression of DDR factors. Auxin-mediated degradation of WDR70 led to reduced expression of BRCA1, BRCA2, RAD51, and other HDR factors; 53BP1 and its downstream effectors; and other DDR factors. In contrast, cNHEJ factors were generally unaffected. WDR70 loss abrogated the localization of HDR factors to DSBs and elicited hallmarks of genomic instability, although 53BP1/RIF1 foci still formed. Mutation of the DDB1-binding WD40 motif, disruption of DDB1, or inhibition of cullins phenocopied WDR70 loss, consistent with CRL4, DDB1, and WDR70 functioning as a complex. RNA-sequencing revealed that WDR70 degradation affects the mRNA levels of DDR and many other factors. The data indicate that CRL4<sup>WDR70</sup> is critical for expression of myriad genes including BRCA1, BRCA2, and RAD51.","Zachary Mirman, Keshav Sharma, Thomas S Carroll, Titia de Lange",DNA repair,2022,," WDR70, control, DDR factor expression; WDR70 degradation, reduced HDR factors, 53BP1 downstream effectors; Context: DNA double strand break in G1, genomic instability

CRL4/WDR70 complex, regulate, BRCA1, BRCA2, RAD51 expression; WDR70 degradation, affect mRNA levels of DDR factors; Context: auxin-mediated degradation"
12,53BP1 AND RIF1,Protection of nascent DNA at stalled replication forks is mediated by phosphorylation of RIF1 intrinsically disordered region.,"RIF1 is a multifunctional protein that plays key roles in the regulation of DNA processing. During repair of DNA double-strand breaks (DSBs), RIF1 functions in the 53BP1-Shieldin pathway that inhibits resection of DNA ends to modulate the cellular decision on which repair pathway to engage. Under conditions of replication stress, RIF1 protects nascent DNA at stalled replication forks from degradation by the DNA2 nuclease. How these RIF1 activities are regulated at the post-translational level has not yet been elucidated. Here, we identified a cluster of conserved ATM/ATR consensus SQ motifs within the intrinsically disordered region (IDR) of mouse RIF1 that are phosphorylated in proliferating B lymphocytes. We found that phosphorylation of the conserved IDR SQ cluster is dispensable for the inhibition of DSB resection by RIF1, but is essential to counteract DNA2-dependent degradation of nascent DNA at stalled replication forks. Therefore, our study identifies a key molecular feature that enables the genome-protective function of RIF1 during DNA replication stress.","Sandhya Balasubramanian, Matteo Andreani, Júlia Goncalves Andrade, Tannishtha Saha, Devakumar Sundaravinayagam, Javier Garzón, Wenzhu Zhang, Oliver Popp, Shin-Ichiro Hiraga, Ali Rahjouei, Daniel B Rosen, Philipp Mertins, Brian T Chait, Anne D Donaldson, Michela Di Virgilio",eLife,2022,," RIF1, inhibit, DSB resection; ATM/ATR phosphorylation, regulate, RIF1 activity; Context: DNA replication stress in B lymphocytes"
13,53BP1 AND RIF1,RIF1 acts in DNA repair through phosphopeptide recognition of 53BP1.,"The chromatin-binding protein 53BP1 promotes DNA repair by orchestrating the recruitment of downstream effectors including PTIP, RIF1, and shieldin to DNA double-strand break sites. While we know how PTIP recognizes 53BP1, the molecular details of RIF1 recruitment to DNA-damage sites remains undefined. Here, we report that RIF1 is a phosphopeptide-binding protein that directly interacts with three phosphorylated 53BP1 epitopes. The RIF1-binding sites on 53BP1 share an essential LxL motif followed by two closely apposed phosphorylated residues. Simultaneous mutation of these sites on 53BP1 abrogates RIF1 accumulation into ionizing-radiation-induced foci, but surprisingly, only fully compromises 53BP1-dependent DNA repair when an alternative mode of shieldin recruitment to DNA-damage sites is also disabled. Intriguingly, this alternative mode of recruitment still depends on RIF1 but does not require its interaction with 53BP1. RIF1 therefore employs phosphopeptide recognition to promote DNA repair but also modifies shieldin action independently of 53BP1 binding.","Dheva Setiaputra, Cristina Escribano-Díaz, Julia K Reinert, Pooja Sadana, Dali Zong, Elsa Callen, Chérine Sifri, Jan Seebacher, André Nussenzweig, Nicolas H Thomä, Daniel Durocher",Molecular cell,2022,," 53BP1, recruit, RIF1; RIF1-binding sites, interaction with, 53BP1; Alternative mode of recruitment, dependent on, RIF1; Context: DNA double strand break in G1

53BP1, interact with, phosphopeptide; RIF1, directly bind to, phosphorylated 53BP1 epitopes; Simultaneous mutation, abrogates, RIF1 accumulation; Context: ionizing-radiation-induced foci

RIF1, promote DNA repair, alternative mode of shieldin recruitment; Alternative mode, independent of, 53BP1 binding; Context: DNA-damage sites"
14,53BP1 AND RIF1,RIF1-ASF1-mediated high-order chromatin structure safeguards genome integrity.,"The 53BP1-RIF1 pathway antagonizes resection of DNA broken ends and confers PARP inhibitor sensitivity on BRCA1-mutated tumors. However, it is unclear how this pathway suppresses initiation of resection. Here, we identify ASF1 as a partner of RIF1 via an interacting manner similar to its interactions with histone chaperones CAF-1 and HIRA. ASF1 is recruited to distal chromatin flanking DNA breaks by 53BP1-RIF1 and promotes non-homologous end joining (NHEJ) using its histone chaperone activity. Epistasis analysis shows that ASF1 acts in the same NHEJ pathway as RIF1, but via a parallel pathway with the shieldin complex, which suppresses resection after initiation. Moreover, defects in end resection and homologous recombination (HR) in BRCA1-deficient cells are largely suppressed by ASF1 deficiency. Mechanistically, ASF1 compacts adjacent chromatin by heterochromatinization to protect broken DNA ends from BRCA1-mediated resection. Taken together, our findings identify a RIF1-ASF1 histone chaperone complex that promotes changes in high-order chromatin structure to stimulate the NHEJ pathway for DSB repair.","Sumin Feng, Sai Ma, Kejiao Li, Shengxian Gao, Shaokai Ning, Jinfeng Shang, Ruiyuan Guo, Yingying Chen, Britny Blumenfeld, Itamar Simon, Qing Li, Rong Guo, Dongyi Xu",Nature communications,2022,," 53BP1, recruit, RIF1; ASF1, interact with, RIF1; ASF1, promote, NHEJ; ASF1 deficiency, suppress, resection and HR in BRCA1-deficient cells; Context: DNA double strand break in G1

53BP1, inhibit, DNA end resection; 53BP1-RIF1 pathway, PARP inhibitor sensitivity on BRCA1-mutated tumors; ASF1, heterochromatinization to protect broken DNA ends; Context: NHEJ pathway for DSB repair in G1"
15,53BP1 AND RIF1,"Roles of the SUMO-related enzymes, PIAS1, PIAS4, and RNF4, in DNA double-strand break repair by homologous recombination.","Post-translational modification of proteins by small ubiquitin-like modifier (SUMO) is known to be involved in a variety of cellular events. This modification, called SUMOylation, is carried out by the E1 activating enzyme, the E2 conjugating enzyme, and multiple E3 ligases. Previous studies have demonstrated that the SUMO E3 ligases, protein inhibitors of activated STAT 1 (PIAS1) and 4 (PIAS4), and the SUMO-targeted ubiquitin ligase, RING finger protein 4 (RNF4), play important roles in the repair of DNA double-strand breaks (DSBs). However, the mechanism by which these SUMO-related enzymes promote DSB repair is still poorly understood. In the present study, we focused on homologous recombination (HR), the most accurate DSB repair pathway, and aimed to elucidate the mechanism by which PIAS1, PIAS4, and RNF4 promote HR. In γ-ray-irradiated normal human fibroblasts, DSB end resection and RAD51 loading, the two essential steps of HR, were significantly impaired by small interfering RNA (siRNA)-mediated depletion of PIAS1, PIAS4, or RNF4. The recruitment of BRCA1, a major HR factor, to DSB sites was reduced in cells depleted of these SUMO-related enzymes. Consistent with the role of BRCA1 in counteracting the p53-binding protein 1 (53BP1)-mediated resection blockade, 53BP1 depletion rescued the reduced resection and RAD51 loading in the cells depleted of PIAS1, PIAS4, or RNF4. Moreover, Rap1-interacting factor 1 (RIF1), a resection inhibitor downstream of 53BP1, became more abundant at DSBs when PIAS1, PIAS4, RNF4, or BRCA1 was depleted. Importantly, the concomitant depletion of BRCA1 with either one of the SUMO-related enzymes did not further increase RIF1 at DSBs, when compared to single depletion of BRCA1. Collectively, these results suggest that PIAS1, PIAS4, RNF4, and BRCA1 work epistatically to counteract 53BP1/RIF1-mediated resection blockade, thereby promoting resection.","Moe Moe Han, Miyako Hirakawa, Motohiro Yamauchi, Naoki Matsuda",Biochemical and biophysical research communications,2022,," PIAS1, promote, HR; PIAS1, relationship, 53BP1; PIAS1 depletion, impair, DSB end resection; Context: DNA double strand break in G1

PIAS4, promote, HR; PIAS4, relationship, 53BP1; PIAS4 depletion, impair, DSB end resection; Context: DNA double strand break in G1

RNF4, promote, HR; RNF4, relationship, 53BP1; RNF4 depletion, impair, DSB end resection; Context: DNA double strand break in G1

BRCA1, counteract, 53BP1/RIF1-mediated resection blockade; BRCA1, recruitment, DSB sites; Context: DNA double strand break in G1"
16,53BP1 AND RIF1,Homologous Recombination Deficiency: Cancer Predispositions and Treatment Implications.,"Homologous recombination (HR) is a highly accurate DNA repair mechanism. Several HR genes are established cancer susceptibility genes with clinically actionable pathogenic variants (PVs). Classically, BRCA1 and BRCA2 germline PVs are associated with significant breast and ovarian cancer risks. Patients with BRCA1 or BRCA2 PVs display worse clinical outcomes but respond better to platinum-based chemotherapies and poly-ADP ribose polymerase inhibitors, a trait termed ""BRCAness."" With the advent of whole-exome sequencing and multigene panels, PVs in other HR genes are increasingly identified among familial cancers. As such, several genes such as PALB2 are reclassified as cancer predisposition genes. But evidence for cancer risks remains unclear for many others. In this review, we will discuss cancer predispositions and treatment implications beyond BRCA1 and BRCA2, with a focus on 24 HR genes: 53BP1, ATM, ATR, ATRIP, BARD1, BLM, BRIP1, DMC1, MRE11A, NBN, PALB2, RAD50, RAD51, RAD51B, RAD51C, RAD51D, RIF1, RMI1, RMI2, RPA1, TOP3A, TOPBP1, XRCC2, and XRCC3. IMPLICATIONS FOR PRACTICE: This review provides a comprehensive reference for readers to quickly identify potential cancer predisposing homologous recombination (HR) genes, and to generate research questions for genes with inconclusive evidence. This review also evaluates the ""BRCAness"" of each HR member. Clinicians can refer to these discussions to identify potential candidates for future clinical trials.","MingRen Toh, Joanne Ngeow",The oncologist,2021,,"53BP1, inhibit, DNA end resection; 53BP1, recruit, RIF1; BRCA1 or BRCA2 PVs, worse clinical outcomes, platinum-based chemotherapies and PARPi response; 24 HR genes context: cancer predisposition, treatment implications beyond BRCA1 & BRCA2
### Context: DNA double strand break in G1
### Example:
53BP1, inhibit, DNA end resection; 53BP1, recruit, RIF1; 53BP1 depletion, resistance to ,PARPi exposure; Context: DNA double strand break in G1"
17,53BP1 AND RIF1,ASTE1 promotes shieldin-complex-mediated DNA repair by attenuating end resection.,"The shieldin complex functions as the downstream effector of 53BP1-RIF1 to promote DNA double-strand break end-joining by restricting end resection. The SHLD2 subunit binds to single-stranded DNA ends and blocks end resection through OB-fold domains. Besides blocking end resection, it is unclear how the shieldin complex processes SHLD2-bound single-stranded DNA and promotes non-homologous end-joining. Here, we identify a downstream effector of the shieldin complex, ASTE1, as a structure-specific DNA endonuclease that specifically cleaves single-stranded DNA and 3' overhang DNA. ASTE1 localizes to DNA damage sites in a shieldin-dependent manner. Loss of ASTE1 impairs non-homologous end-joining, leads to hyper-resection and causes defective immunoglobulin class switch recombination. ASTE1 deficiency also causes resistance to poly(ADP-ribose) polymerase inhibitors in BRCA1-deficient cells owing to restoration of homologous recombination. These findings suggest that ASTE1-mediated 3' single-stranded DNA end cleavage contributes to the control of DSB repair choice by 53BP1, RIF1 and shieldin.","Fei Zhao, Wootae Kim, Huanyao Gao, Chao Liu, Yong Zhang, Yuping Chen, Min Deng, Qin Zhou, Jinzhou Huang, Qi Hu, Shih-Hsun Chen, Somaira Nowsheen, Jake A Kloeber, Bo Qin, Ping Yin, Xinyi Tu, Guijie Guo, Sisi Qin, Chao Zhang, Ming Gao, Kuntian Luo, Yilun Liu, Zhenkun Lou, Jian Yuan",Nature cell biology,2021,,"Shieldin complex, promote, DNA double-strand break end-joining; SHLD2, block, end resection; ASTE1, cleave, single-stranded DNA; ASTE1 deficiency, resistance to PARPi exposure; Context: BRCA1-deficient cells, DSB repair choice

Shieldin complex, control, DSB repair choice; ASTE1, 3' single-stranded DNA end cleavage; Context: DNA double strand break in G1"
18,53BP1 AND RIF1,RIF1 Is Essential for 53BP1-Dependent Nonhomologous End Joining and Suppression of DNA Double-Strand Break Resection.,,"J Ross Chapman, Patricia Barral, Jean-Baptiste Vannier, Valérie Borel, Martin Steger, Antonia Tomas-Loba, Alessandro A Sartori, Ian R Adams, Facundo D Batista, Simon J Boulton",Molecular cell,2021,,
19,53BP1 AND RIF1,Autism-Associated Vigilin Depletion Impairs DNA Damage Repair.,"Vigilin (Vgl1) is essential for heterochromatin formation, chromosome segregation, and mRNA stability and is associated with autism spectrum disorders and cancer: vigilin, for example, can suppress proto-oncogene c-<i>fms</i> expression in breast cancer. Conserved from yeast to humans, vigilin is an RNA-binding protein with 14 tandemly arranged nonidentical hnRNP K-type homology (KH) domains. Here, we report that vigilin depletion increased cell sensitivity to cisplatin- or ionizing radiation (IR)-induced cell death and genomic instability due to defective DNA repair. Vigilin depletion delayed dephosphorylation of IR-induced <b>γ</b>-H2AX and elevated levels of residual 53BP1 and RIF1 foci, while reducing Rad51 and BRCA1 focus formation, DNA end resection, and double-strand break (DSB) repair. We show that vigilin interacts with the DNA damage response (DDR) proteins RAD51 and BRCA1, and vigilin depletion impairs their recruitment to DSB sites. Transient hydroxyurea (HU)-induced replicative stress in vigilin-depleted cells increased replication fork stalling and blocked restart of DNA synthesis. Furthermore, histone acetylation promoted vigilin recruitment to DSBs preferentially in the transcriptionally active genome. These findings uncover a novel vigilin role in DNA damage repair with implications for autism and cancer-related disorders.","Shahid Banday, Raj K Pandita, Arjamand Mushtaq, Albino Bacolla, Ulfat Syed Mir, Dharmendra Kumar Singh, Sadaf Jan, Krishna P Bhat, Clayton R Hunt, Ganesh Rao, Vijay K Charaka, John A Tainer, Tej K Pandita, Mohammad Altaf",Molecular and cellular biology,2021,," Vigilin, interact, RAD51; Vigilin, interact, BRCA1; Vigilin depletion, increase, cell sensitivity to cisplatin or IR; Vigilin depletion, delay, γH2AX dephosphorylation; Vigilin depletion, elevate, 53BP1 and RIF1 foci; Vigilin depletion, reduce, Rad51 and BRCA1 focus formation; Context: DNA damage response in cells"
20,53BP1 AND RIF1,Regulation of DNA double-strand break repair pathway choice: a new focus on 53BP1.,"Maintenance of cellular homeostasis and genome integrity is a critical responsibility of DNA double-strand break (DSB) signaling. P53-binding protein 1 (53BP1) plays a critical role in coordinating the DSB repair pathway choice and promotes the non-homologous end-joining (NHEJ)-mediated DSB repair pathway that rejoins DSB ends. New insights have been gained into a basic molecular mechanism that is involved in 53BP1 recruitment to the DNA lesion and how 53BP1 then recruits the DNA break-responsive effectors that promote NHEJ-mediated DSB repair while inhibiting homologous recombination (HR) signaling. This review focuses on the up- and downstream pathways of 53BP1 and how 53BP1 promotes NHEJ-mediated DSB repair, which in turn promotes the sensitivity of poly(ADP-ribose) polymerase inhibitor (PARPi) in BRCA1-deficient cancers and consequently provides an avenue for improving cancer therapy strategies.","Fan Zhang, Zihua Gong",Journal of Zhejiang University. Science. B,2021,," 53BP1, promote, NHEJ; 53BP1, inhibit, HR; 53BP1 recruitment, DNA DSB lesion; 53BP1 depletion, resistance to PARPi exposure; Context: BRCA1-deficient cancers in G1
### Alternative:
 53BP1, promote, NHEJ repair; 53BP1, inhibit, HR signaling; 53BP1 recruitment, DSB lesion; 53BP1 depletion, PARPi resistance; Context: BRCA1-deficient cancers in G1 phase"
